127.0.0.1 - - [30/Dec/2017:16:25:36 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:25:37 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1481
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:25:37 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 200 70358
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:25:37 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:25:37 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 200 30191
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:25:37 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 200 34901
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:25:37 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 200 31846
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:29 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:29 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:29 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:29 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:29 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:29 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:30 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:30 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:30 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:30 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:30 +0100] "GET /ProgettoPW2017/Imm/Bye.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:30 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:27:31 +0100] "GET /ProgettoPW2017/profile.jsp HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:31:53 +0100] "GET /ProgettoPW2017/profile.jsp HTTP/1.1" 404 1057
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:31:55 +0100] "GET /ProgettoPW2017/HeaderLogged.jsp HTTP/1.1" 200 1507
0:0:0:0:0:0:0:1 - - [30/Dec/2017:16:31:55 +0100] "GET /ProgettoPW2017/CSS/Ammheaders.css HTTP/1.1" 304 -
