127.0.0.1 - - [16/Jan/2018:09:20:48 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Jan/2018:09:20:50 +0100] "GET /ProgettoPW2017/Profile.jsp HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:44:51 +0100] "GET /ProgettoPW2017/Profile.jsp HTTP/1.1" 200 2912
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:44:51 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 200 70358
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:44:51 +0100] "GET /ProgettoPW2017/CSS/headers.css HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:44:51 +0100] "GET /ProgettoPW2017/Imm/carrello.png HTTP/1.1" 200 34901
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:44:51 +0100] "GET /ProgettoPW2017/Imm/bianco.jpg HTTP/1.1" 200 70358
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:44:51 +0100] "GET /ProgettoPW2017/Imm/Logo.png HTTP/1.1" 200 30191
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:45:46 +0100] "GET /ProgettoPW2017/login_registrazione.jsp HTTP/1.1" 200 4086
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:45:46 +0100] "GET /ProgettoPW2017/CSS/Registrazione-login.css HTTP/1.1" 200 885
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:45:52 +0100] "POST /ProgettoPW2017/Controllo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:45:52 +0100] "GET /ProgettoPW2017/login_registrazione.jsp HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:45:57 +0100] "POST /ProgettoPW2017/Controllo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:45:57 +0100] "GET /ProgettoPW2017/login_registrazione.jsp HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:46:19 +0100] "POST /ProgettoPW2017/Controllo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:46:19 +0100] "GET /ProgettoPW2017/login_registrazione.jsp HTTP/1.1" 200 4118
0:0:0:0:0:0:0:1 - - [16/Jan/2018:12:46:34 +0100] "POST /ProgettoPW2017/Controllo HTTP/1.1" 404 1071
